request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"49b6c93f-b7b3-4f41-a65d-adba24c81a13",GET,/,"debug=true&locale=en",,302,,,,3951642915100,3952011834200,3952025363300
"b24c97b5-1628-4a6e-a04e-0faade60bb02",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,3952110045400,3952123714900,3970485479100
"e04471b1-9f96-4fb9-ad05-72ac113acf14",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,3971071495900,3971133559800,3971137826500
"a8d068fb-f2d0-49d7-9757-357bfda5e861",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,3971186584300,3971226007700,3971229664800
"f0b65c0f-3596-4e1d-8788-cea67c03e909",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,3971257653100,3971300271400,3971304880300
"f81729f5-e53e-4d9c-9f28-0d17e1790cf9",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,3971330125900,3971507861400,3971513098400
"8bc18fce-a92c-4dd8-8eeb-ceb342bd61a3",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,3971551964600,3971644755100,3971649257600
"d556de35-8d56-4caf-a025-c3cfc99c2db1",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,3971670308100,3971798990700,3971807602300
"5e4ad984-4927-40d5-8af0-cfa824fed45c",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,3971837906800,3972055877100,3972059202200
"d2806341-4f6b-488b-b159-f9eac2fe8ab6",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,3972081936000,3972138918400,3972142041600
"089b7660-14a6-4984-8049-a8dc0c5fed3f",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,3972162760500,3972267737200,3972270371400
"c82af3e6-c248-4318-9e73-c2c4a94dbfe3",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,3972294227400,3972487847400,3972491326900
"9adb206a-4288-44a9-b1ee-c17cc1c25584",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,3972534995400,3972550489600,3972553666000
"c1f43b42-031e-49f9-9c76-53f83736e536",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,3972577267100,3972589282200,3972597718700
"c9b77d64-cfc5-42ce-9b2b-d8bb172557bc",GET,/images/banner.png,,,200,image/png,,,3972619286000,3972628346800,3972631613600
"5eb362f0-55df-4638-bb93-1750777272ed",GET,/images/logo.png,,,200,image/png,,,3972670813100,3972680803400,3972686309500
"f1c8acfc-a8ee-4620-959b-0bbed3e940c6",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,3972725565200,3972775517500,3972779305100
"b8b6d52a-7d49-4224-914b-ca6a63df0261",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,3972814721800,3972851103100,3972854717800
"a94a25f4-f50a-4cd7-a50a-375a3273cee7",GET,/images/favicon.ico,,,200,image/x-icon,,,3972886118700,3972932071800,3972935190500
"c24d0c32-0f90-4e1a-86cf-47e2a103554b",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"remember=false&password=&username=",,3972956400600,3972981301400,3979953069000
"a31c0b68-c115-4697-835b-fdb794347fda",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,3980022183200,3980031027200,3980034139400
"7594d3a6-4a48-4130-9625-35534fc19fa8",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,3980062761300,3980077412900,3980081409300
"923642ba-7720-4e75-9cb4-ac71097dc13c",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,3980109822700,3980121390800,3980125087500
"5f21d5e6-0c2e-4e8f-9821-997557814c74",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,3980153719800,3980161856200,3980164862500
